id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2016-107,J,Male,AZ,0,0,0,2.1216,0,1.2667,0.0119,0.2029,1530,NA,230.06,536,15.41249979,1655,31.398052,-110.463635,1.196756415,1.506866435,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-108,J,Female,AZ,0,0,0,2.5714,0,1.0462,0,0.1153,1530,NA,230.06,536,15.41249979,1655,31.398052,-110.463635,1.029771951,1.506866435,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-110,J,Male,AZ,0,0,0,0.3143,0,0.0594,0.0226,0,1000,NA,108.04,528,15.47500012,1578,31.488971,-110.611033,1.335931779,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-115,A,Female,AZ,0,0,0,0,0,2.7432,0,0,1600,NA,161.74,525,15.37083332,1608,31.503429,-110.584759,0.329168055,1.362937382,Mogollon Chaparral
2016-116,J,Female,AZ,0,0,0,0,0,0.5039,0,0,1600,NA,161.74,525,15.37083332,1608,31.503429,-110.584759,0.775274898,1.362937382,Mogollon Chaparral
2016-117,A,Female,AZ,0,0,2.1546,0,0,0,0,0,1600,NA,161.74,525,15.37083332,1608,31.503429,-110.584759,0.043985817,1.362937382,Mogollon Chaparral
2016-118,J,Male,AZ,0,0,0,2.2695,0,0.1288,0,0.1058,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.638124624,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-119,J,Male,AZ,0,0,0,1.367,0,0.0095,0.0117,0.0568,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.466686194,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-120,J,Male,AZ,0,0,0,2.994,0,0.1699,0,0.0582,1245,NA,111.82,520,15.5375,1558,31.484718,-110.602862,0.390418422,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-127,J,Male,AZ,0,0,0,0.0281,0,0,0,0,930,5,247.41,526,15.92083329,1578,31.3511,-110.484337,0.696356931,1.198105477,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-128,J,Female,AZ,0,0,0,0,0,0.5811,0.0401,0,1000,6,199.39,521,16.03749978,1528,31.347878,-110.484526,0.239314288,1.275254273,Madrean Encinal
2016-129,J,Male,AZ,0,0,0,0.0365,0,1.2049,0.0279,0.0277,1145,7,111.6,521,16.03749978,1528,31.34385,-110.486741,0.482014575,1.297985692,Madrean Encinal
2016-130,J,Male,AZ,0,0,0,0.1133,0,0.1037,0.086,0.2098,1245,NA,251.24,521,16.03749978,1528,31.345481,-110.487064,1.459657235,1.319997452,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-136,J,Male,AZ,0,0,0,0,0.0014,0,0,0.0407,1100,16,207.95,476,17.31250004,1207,31.367431,-110.996582,0.83406536,0.949227213,Madrean Encinal
2016-137,J,Male,AZ,0,0,0.0534,0,0,0,0,0,1030,12,109.61,476,17.31250004,1207,31.369391,-110.995969,0,0.949769167,Madrean Encinal
